Protein	Gene	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
Paralemmin-3	PALM3	20.95284	18.75533	19.14235	20.86022	19.90211	20.95794	20.24178	23.51244	20.11743	20.88487	21.0498	21.69936	21.14874	21.61197	21.10047	21.64998	22.16668	21.39189	19.32865	22.06756	21.60216	21.99607	21.33058	21.93613	20.54179	21.55197	18.6196	21.32158	18.68392	21.13006	20.15582	21.59922
Phosphoglycolate phosphatase	PGP	21.94935	22.1425	22.37782	21.88064	22.17865	20.25227	19.84133	20.01727	21.74127	21.77885	22.45197	21.10863	21.69551	22.07662	20.76254	22.71965	20.76437	21.8772	22.14555	21.86359	22.28276	22.51731	21.80003	22.92095	19.95834	21.01916	21.96699	20.50872	22.1979	21.90699	21.36228	21.86668
UPF0600 protein C5orf51	C5orf51	21.70864	21.88424	22.22613	18.7235	21.47451	20.62709	20.95285	21.13239	22.67476	20.66788	21.43307	22.23804	22.66313	19.14489	21.45618	22.05542	21.31954	21.45894	21.48007	19.86781	18.70743	21.43789	21.13701	20.08304	19.21868	20.65573	21.23218	21.19685	20.3103	20.61286	20.99312	19.95842
IgLON family member 5	IGLON5	25.02869	24.41749	22.50319	23.19838	23.95924	23.40646	24.02582	23.49356	24.78959	24.89416	24.67266	24.54461	25.37633	25.12574	25.16316	25.25744	23.47723	24.74069	24.0416	24.48859	24.92622	24.71557	24.9264	24.78353	23.09781	22.82437	22.88068	23.31491	24.12099	23.60272	24.63072	24.23271
Isoform 2 of Tubulin alpha chain-like 3	TUBAL3	23.75069	23.45413	22.7986	23.64102	23.29396	23.39767	24.42461	25.00563	24.73225	26.07393	24.56887	24.33318	24.1795	25.06293	25.56658	24.57217	25.88188	24.58351	24.66396	24.6267	25.27597	25.12309	25.02691	24.77543	25.65106	24.62212	24.13058	24.82994	24.66057	24.79222	24.63899	24.41581
Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (Fragment)	SMCHD1	21.18912	20.19674	22.24262	22.21154	20.73269	22.30493	20.23108	22.42603	21.43982	21.33985	20.21843	22.16061	20.33919	19.9213	20.51241	19.24682	24.12058	20.67548	20.30317	21.61439	19.18439	20.50673	18.83578	19.94812	23.18893	22.73135	22.42599	21.34755	20.94403	21.83228	21.29858	21.34096
GATS-like protein 1	GATSL1	21.4593	22.23469	20.80506	19.81816	21.96194	20.7736	22.78666	23.13483	22.49319	22.48838	21.36666	22.16563	22.44708	20.77979	22.60603	20.86136	23.4212	22.41089	21.53948	21.33617	21.24377	21.55788	21.30979	21.06276	22.13592	23.04048	21.83077	21.7807	21.82092	21.71791	21.91649	21.48226
Protein FAM127A	FAM127A	20.64518	20.72059	19.93733	20.23383	19.5288	19.11024	19.50189	22.53082	20.78633	19.60595	19.07445	20.18894	20.13934	21.03745	19.8689	20.10201	22.50835	22.33353	17.82396	20.20262	21.77177	22.9924	22.60103	19.87797	20.56879	21.92162	22.21605	18.72285	21.67867	18.60979	20.1324	20.99348
Protein FAM171A2	FAM171A2	23.22457	24.36884	23.45676	24.50515	24.02792	20.84148	24.75501	25.98478	24.9859	25.5723	25.22673	25.68515	25.50036	26.02344	25.58274	25.49558	25.68223	26.17601	25.35924	25.78412	25.42288	25.52645	25.61132	25.51136	25.03225	25.27669	24.62707	24.95565	24.8638	25.24341	25.67254	25.53538
SNRPG protein	SNRPG	27.29413	27.24771	26.43432	25.28166	27.52574	26.051	24.99015	22.04205	24.4903	24.88926	24.05711	24.73958	24.77363	24.1591	24.47314	24.83219	26.07071	25.5476	24.44547	24.44599	24.82321	23.83132	22.79374	23.35652	24.40989	26.47174	25.98123	25.61313	26.02112	24.94281	25.58878	24.8208
Eukaryotic translation initiation factor 3 subunit C	EIF3C	22.83316	23.15596	23.00048	23.26266	22.80717	23.0601	23.35353	20.82607	23.01737	21.98812	21.70542	22.09646	21.57052	19.04681	21.65556	20.86005	25.48882	22.20594	22.34471	22.28892	21.49406	21.93488	19.78875	21.40593	23.72151	25.16852	23.66558	22.86159	22.70254	22.68799	22.52002	23.54843
Golgi pH regulator B (Fragment)	GPR89B	20.2642	19.44727	22.43541	23.40419	19.96669	23.4781	20.38273	21.40691	20.32315	24.1439	18.84657	23.10644	18.27527	22.09816	24.08602	18.52385	20.59013	19.89765	20.94416	22.59638	17.45549	18.9224	18.77018	20.3024	20.82024	20.34421	23.74746	23.36922	24.43816	23.9581	20.506	20.60312
Protein FAM195B	FAM195B	23.30886	24.57571	23.0627	24.22913	23.52488	23.52027	20.32768	22.68478	23.69094	23.80485	23.28626	23.58418	22.58798	21.89892	21.9931	22.46638	24.06967	24.11593	22.49717	23.40771	23.19142	23.00568	21.6462	22.5717	24.24875	23.84808	23.46526	24.80368	23.7397	23.2535	22.07973	23.44624
"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"	NACA	26.0719	27.98526	26.27637	27.05665	26.80202	26.98397	24.02003	23.48294	26.5056	26.67331	25.11038	26.11425	24.6893	23.73964	25.03445	24.14033	26.39122	26.09161	25.35449	26.04686	25.22285	24.51188	24.88006	25.01483	24.97377	26.40617	26.92275	27.72594	26.69218	27.27505	26.47061	26.00228
Transmembrane protein 178B	TMEM178B	19.80736	19.89623	18.87482	19.45515	20.68139	19.03202	21.65506	21.10568	20.96722	20.86178	21.32904	18.71254	21.49562	19.22568	22.56955	21.47788	19.3523	20.85909	21.02206	19.7742	20.29113	20.17043	22.24602	22.29554	19.77285	21.20167	18.59626	20.71383	21.1612	21.0554	20.54731	20.45529
Kinesin-like protein KIF2A	KIF2A	26.40012	26.01604	26.3872	26.04776	26.60231	26.66708	26.60514	26.67287	26.84061	26.79936	26.88909	26.42804	27.27371	27.25804	27.36816	27.2413	26.37597	27.25437	27.05839	26.99474	27.09697	27.0689	27.46667	27.29604	26.66827	26.65932	26.64675	26.26047	27.09058	26.60314	26.90266	27.03423
PDZ and LIM domain protein 1	PDLIM1	22.79924	21.85145	22.43303	22.71676	23.46659	21.79856	20.69313	20.43312	20.19576	22.42008	21.73133	19.39821	22.26989	22.15517	19.6912	19.23266	20.06873	22.03458	21.70441	20.68174	22.2537	22.21193	21.66243	18.63494	20.65033	21.05824	21.8259	20.35771	22.17163	21.45372	19.33105	19.60957
Isoform 4 of Cytosolic acyl coenzyme A thioester hydrolase	ACOT7	26.17113	25.8358	25.90405	26.58185	25.6369	26.29303	26.93161	28.19038	27.00728	26.6621	27.36068	27.40871	27.31225	27.95864	27.63058	27.48453	28.66161	27.14785	27.71833	27.88773	27.27699	27.78626	27.62582	27.82019	27.45596	27.25585	26.97236	27.56234	27.18087	27.7328	27.22806	27.56871
Phospholemman	FXYD1	18.50036	22.55652	21.57335	21.11298	23.19391	22.73186	21.60453	20.53555	19.27419	20.74809	19.89088	20.46157	19.63451	17.47769	20.92104	21.99072	20.44596	17.4131	20.19642	20.29297	21.33818	20.83515	20.58222	21.09218	20.16613	20.17208	18.92559	18.82385	20.64649	20.14058	20.57335	22.46748
AH receptor-interacting protein	AIP	22.77205	22.96061	22.80568	23.37613	22.71579	22.04414	22.61306	23.0693	23.92196	23.10686	22.63384	24.03087	22.58796	22.4721	21.86082	22.95256	24.39402	23.55378	22.57463	23.40295	22.6381	22.4678	21.89167	23.10172	23.25867	22.81255	22.58945	22.82939	22.98129	22.48659	22.16471	23.05812
GTP-binding protein 1	GTPBP1	23.05614	23.21859	22.71045	23.40353	23.09584	22.84253	20.20023	21.25866	22.88398	22.67395	22.1038	23.00597	23.16583	20.79007	22.72788	22.50226	19.58158	22.59006	22.22958	21.92792	22.97863	21.04801	22.94343	21.72576	22.77117	22.81749	23.06817	23.03388	23.00892	23.08398	22.4087	22.01332
Armadillo repeat protein deleted in velo-cardio-facial syndrome	ARVCF	18.87919	19.46531	20.96198	20.61939	18.93111	21.4807	21.82726	20.48154	20.81701	21.33559	20.21485	21.64083	21.4245	21.70704	19.52166	20.07688	18.79813	20.3632	18.26163	20.22917	20.27004	19.62401	22.04309	21.1394	20.08562	20.27126	20.12064	20.10424	20.0258	23.45061	20.30289	21.23152
Ras-related protein Rab-27A (Fragment)	RAB27A	21.47336	20.1061	19.52285	18.91988	19.6627	21.77909	20.61887	21.65001	19.67662	20.94684	20.4064	20.21811	20.63574	20.39893	18.96712	21.08324	18.27077	20.90376	20.32378	20.30003	18.16004	18.81194	20.02486	20.3529	19.91769	20.19537	19.21613	19.37309	19.96447	21.31388	19.92618	20.90614
Galectin (Fragment)	LGALS8	21.45829	20.97178	20.06227	20.61368	21.18659	20.06178	19.88967	20.63763	20.70413	20.41926	20.97545	19.84285	20.44172	20.77427	20.80955	19.01043	20.3218	20.91771	20.78811	21.01626	20.97142	21.07516	20.79666	20.71976	21.41493	19.30669	21.62454	21.77776	22.55854	22.52738	22.89084	21.10343
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (Fragment)"	NDUFS8	19.6081	18.95898	18.20999	18.61353	18.79887	19.73105	19.1629	20.72965	20.4806	21.16987	20.53791	18.69707	19.56514	20.38915	21.19345	18.49113	20.94436	19.5376	21.13748	19.45687	19.88368	20.79289	18.58764	19.84587	21.68272	21.78955	20.71231	21.5077	22.12218	20.54106	18.9218	18.93872
26S proteasome non-ATPase regulatory subunit 11	PSMD11	25.19378	25.05499	25.47696	26.35078	25.33507	25.0643	24.60968	24.33185	25.1316	25.32291	26.16642	25.68192	24.58979	24.86473	24.09631	23.65889	24.66241	24.71895	25.1983	25.80668	24.04484	25.23901	23.64256	24.07084	17.71628	25.36535	25.55948	26.08907	24.92646	25.38303	24.32587	24.60613
26S proteasome non-ATPase regulatory subunit 12	PSMD12	25.53877	25.12331	25.05154	26.05696	24.90359	24.3632	24.72949	24.73652	25.38408	25.56004	25.36717	23.89959	24.72347	21.7497	25.4709	23.94864	25.50584	24.98143	24.90835	22.95971	24.6953	24.35471	24.11037	24.69612	24.90187	25.05631	25.22258	24.68414	25.31043	25.33878	25.02571	25.00232
Menin	MEN1	21.60535	21.11121	22.046	21.53469	22.13489	21.76085	20.8974	19.82006	20.56119	20.55936	18.68968	20.52285	19.38487	20.49769	19.01082	21.50975	19.95542	19.40434	20.93048	19.71732	20.23791	18.08651	19.87503	21.07071	21.98535	19.08595	17.88949	19.37525	20.48887	20.38914	18.92092	20.85896
Membrane-associated progesterone receptor component 1	PGRMC1	26.97296	26.90937	27.58631	26.6883	26.39922	26.80328	26.24761	26.74463	26.35442	25.89317	26.24197	26.41404	26.38124	26.14459	26.791	26.51453	26.08576	26.50555	26.08266	26.4008	26.04333	25.54044	26.67926	26.70816	26.12615	26.4155	26.14093	25.78838	26.28285	25.93008	26.66185	26.37923
Isoform 2 of Transcription elongation factor SPT5	SUPT5H	22.31576	22.55948	17.46417	19.27626	23.03823	22.2723	21.16847	20.99911	20.93169	20.89867	19.67804	20.18493	19.78517	20.59466	19.56355	22.17539	19.65467	18.21563	20.94971	21.05541	19.73456	19.35336	19.05802	19.80602	20.81277	21.48777	24.1899	22.45292	22.0472	22.79294	22.4224	21.85296
Isoform DFF35 of DNA fragmentation factor subunit alpha	DFFA	22.70081	23.22241	22.45277	20.30961	22.65963	20.2871	21.96327	22.61679	22.56509	22.11369	21.83841	19.98342	21.91229	18.89398	21.81691	21.07927	21.2978	22.45094	21.71255	19.70621	21.64061	22.33753	22.32268	21.10149	21.00237	23.20313	21.77024	22.07507	22.0595	22.56384	21.97834	21.57109
Chloride intracellular channel protein 1	CLIC1	24.93715	25.73444	25.58282	26.73303	25.16361	25.34791	23.37307	22.07562	24.70957	24.16551	24.70045	24.98853	22.89822	23.83628	22.30629	21.28273	22.34492	22.98975	22.92908	23.1334	22.01985	22.20827	22.45653	22.24188	22.93861	22.24104	23.25778	23.00351	22.60381	22.94084	22.62558	21.97882
Eukaryotic translation initiation factor 3 subunit F	EIF3F	24.95735	24.57762	24.23256	24.67112	24.43224	22.87285	19.91628	22.87406	23.53202	23.70749	22.57389	24.37532	22.48781	22.80739	21.60332	21.94407	23.18633	22.56858	22.56181	23.62696	21.85555	22.20002	22.27951	22.17875	23.6809	24.32158	24.67493	25.05682	24.66569	24.348	24.14451	23.67051
"Isoform 3 of Pyruvate dehydrogenase protein X component, mitochondrial"	PDHX	19.67917	19.48241	20.68834	21.45042	18.62952	19.56806	21.09146	20.54299	19.33609	19.34089	21.02384	20.20714	21.70265	21.36601	20.77997	20.29648	19.77016	21.77366	21.0191	19.44016	21.14924	20.18168	20.73606	21.54326	20.94761	21.65652	21.68505	20.55877	21.82235	20.54834	21.40743	20.61802
"Isoform PDE2A1 of cGMP-dependent 3,5-cyclic phosphodiesterase"	PDE2A	21.02478	19.11784	20.63838	21.11534	20.36103	19.1295	22.33505	24.53819	21.90229	21.95868	23.237	21.69434	22.12294	23.31109	23.46206	25.28094	19.07134	23.48729	22.41208	23.29498	22.82552	23.08746	24.08411	25.21661	22.16253	20.51777	21.08952	23.95331	21.40139	21.88408	23.39135	24.60799
Importin-5	IPO5	25.22043	24.54794	26.74542	26.3809	24.44667	24.08448	24.59587	26.21191	24.959	25.64752	25.28906	24.90973	24.5695	24.78899	25.92265	24.88418	26.74127	25.79823	25.27235	24.49974	23.95106	25.14041	20.98008	23.8385	23.64692	25.63573	24.91643	24.95231	23.90495	23.49887	23.70157	24.02983
Histone deacetylase complex subunit SAP18	SAP18	25.35237	24.54319	24.31762	23.10374	25.22495	21.984	23.64016	23.79349	23.89369	22.72941	21.16644	21.79038	22.17062	22.47063	21.13271	21.32576	23.06927	23.80991	21.70654	23.56488	21.85044	22.60182	22.04008	19.95744	24.18036	23.59502	25.13968	23.00049	25.12972	23.75617	23.05016	21.0444
Echinoderm microtubule-associated protein-like 1	EML1	20.63495	19.51069	22.85684	22.62803	20.32251	20.31595	24.14189	23.03936	25.45083	24.34674	25.30064	25.17744	25.32816	24.87648	25.15097	24.20316	25.12737	25.47906	25.42812	25.34484	25.76845	24.31635	25.18142	23.70008	26.39046	25.73241	25.24616	25.58145	25.57429	24.58644	24.86518	24.34638
Insulin-like growth factor 2 mRNA-binding protein 3	IGF2BP3	21.85074	21.94595	22.20935	24.56765	21.65434	22.70016	22.08939	21.16889	23.7741	22.31453	21.83202	23.32919	19.85831	20.35485	19.93602	18.39169	24.8637	22.12842	22.15858	22.49814	20.53386	20.98026	19.08727	21.44748	23.707	24.24066	23.45441	23.9595	22.7816	21.82404	21.26515	19.89129
Isoform 8 of Dynamin-1-like protein	DNM1L	25.66438	25.95571	25.87288	26.81269	26.11686	26.14355	26.20692	27.1607	27.05284	26.8818	26.8818	26.93002	26.47626	26.8071	27.25169	26.85649	27.27914	26.66814	26.92235	26.82481	26.74246	27.01381	26.98101	26.97346	26.79331	26.78676	27.00554	27.18292	27.00974	27.23806	27.07127	27.34879
RNA 3-terminal phosphate cyclase	RTCA	21.18164	22.06659	18.5009	21.43324	20.78309	20.18166	21.88384	21.6561	20.62571	21.00662	21.4317	18.6039	20.38279	21.52392	20.66622	21.14886	22.47044	21.15592	21.46594	20.8068	20.62895	21.7095	20.69094	20.82025	20.64548	21.92329	22.29758	21.1906	21.67478	20.83892	21.2247	20.82755
Phosphatidylinositol 3-kinase regulatory subunit beta	PIK3R2	20.16788	21.58515	21.00079	20.57987	21.6693	20.78482	22.56932	21.50929	21.32532	21.02715	22.18399	21.75351	21.57262	20.9116	22.11401	19.52278	23.78565	21.42547	21.91993	21.44806	21.55672	22.1512	19.90737	20.08151	21.69257	22.66267	21.37761	21.17453	20.49952	21.72349	19.97519	20.92901
Agrin	AGRN	22.25023	22.15456	21.98479	19.71536	21.5858	22.2635	20.33262	23.51674	22.58466	22.69638	22.39635	22.5209	22.88561	22.51103	23.44821	22.71697	23.2039	24.10211	22.42108	22.5838	22.49613	21.93283	23.06533	23.00959	23.14195	23.16469	22.09418	22.16899	22.09908	22.67954	22.89171	22.08706
Exocyst complex component 5	EXOC5	21.83268	23.00441	22.54371	20.12729	21.63573	21.54042	19.92532	22.57333	21.59651	19.55438	22.54256	22.91126	22.90044	24.14695	22.3006	22.63941	21.82018	21.55854	22.81902	23.16124	21.65509	22.75255	22.7126	21.52774	20.64592	22.09371	22.2083	20.04461	22.90145	22.92412	21.90489	20.48681
Cytochrome c oxidase subunit NDUFA4	NDUFA4	19.89232	20.45623	19.5526	22.66323	19.12209	21.35665	18.54163	20.62081	19.52359	20.76469	21.05212	20.17792	19.45312	21.2638	20.69204	21.90889	21.33356	20.70951	20.90573	21.12584	20.08503	21.21296	20.28805	19.47397	20.7452	22.19196	20.88604	20.56992	21.2109	21.12282	21.00581	21.35126
26S proteasome non-ATPase regulatory subunit 14	PSMD14	25.48158	25.64201	25.04096	25.8349	25.42891	24.78536	20.18553	23.22852	25.15784	24.90882	24.60236	25.38014	23.68484	24.54479	24.18493	23.6605	23.15582	24.78407	24.77965	25.32331	24.17425	24.40503	24.14136	24.13896	24.54579	25.06608	25.4797	25.60219	25.40731	24.95042	25.62787	25.04964
Isoform IIC1 of Myc box-dependent-interacting protein 1	BIN1	22.27752	23.22059	20.66926	20.79519	20.47502	22.64587	22.61605	22.06691	23.49143	20.42881	21.9917	20.11474	23.86443	20.97396	23.7776	22.58935	20.903	21.22802	21.84779	19.76366	22.30954	21.78648	24.38147	21.7167	20.80813	20.87423	21.78245	21.09713	21.9643	21.42327	22.63062	23.864
Importin subunit alpha-4	KPNA3	19.58699	20.90947	21.16423	21.66	20.78526	20.16846	20.9207	22.51713	22.29036	21.87258	22.14133	22.04893	21.90613	22.27737	22.12766	21.95064	23.03067	21.33736	21.98582	21.79195	21.85026	22.42031	21.64063	21.79479	22.25638	22.47919	21.84055	21.84561	22.058	22.33859	22.07989	21.58821
Neural cell adhesion molecule L1-like protein	CHL1	23.07122	25.06902	23.31771	22.09993	25.87045	23.44357	28.7064	29.27998	27.36818	27.34337	27.32389	27.35678	28.05245	27.96482	28.86583	29.57062	29.88049	28.29874	28.01799	27.67932	28.39247	28.58379	28.90918	28.91417	28.52627	27.74099	26.09677	25.88974	26.78115	26.75439	27.32955	27.05722
Syntenin-1	SDCBP	22.73215	23.87706	22.30932	23.09924	23.27637	21.41164	22.80231	20.21968	24.41036	24.72706	22.46334	25.46907	23.13634	22.48407	23.95796	23.28494	19.73708	24.48573	22.35691	22.56374	22.8475	19.79391	20.68957	18.73516	20.31896	22.02989	21.70083	22.78677	23.35609	21.83659	23.75404	22.77354
Isoform 2 of Membrane-associated phosphatidylinositol transfer protein 1	PITPNM1	19.44194	20.10217	19.26195	19.5458	19.19827	20.34172	21.70746	22.19971	22.10849	22.48701	22.8035	21.69404	22.64486	23.48251	23.6742	23.62775	22.01552	22.15347	23.46168	21.48952	23.04739	22.41685	22.82484	23.29226	20.18027	21.66713	22.84347	19.35011	22.23164	22.85722	21.81302	23.47407
Nucleolar protein 56 (Fragment)	NOP56	19.97909	19.97602	23.20467	24.21644	21.92678	24.22972	23.4188	25.42857	22.14908	20.97029	20.52019	22.17948	21.26745	20.45583	21.60304	19.75971	24.65769	21.01386	21.11113	22.14994	21.08369	20.90338	19.58064	18.89337	22.20789	24.50901	24.95893	24.82421	23.30715	23.74221	22.13733	21.24128
Isoform 2 of ATP-dependent RNA helicase DDX3X	DDX3X	25.78313	24.9591	26.20081	26.17932	24.79481	24.81161	22.93964	23.8411	25.61481	24.79474	25.26241	24.79246	23.71247	23.87601	24.07639	23.40977	26.12587	24.98464	25.56597	24.94835	24.53374	25.31091	23.81835	23.92185	24.66758	25.68711	27.00089	26.43335	26.12192	26.33917	25.86762	25.48051
Pirin	PIR	18.82121	20.11797	19.83945	21.64293	20.80756	21.30678	19.42467	20.22283	20.75754	21.02214	20.72085	21.30443	20.39613	20.68786	21.09504	20.53792	20.91569	19.22035	20.37091	19.87605	19.12752	18.66778	20.53383	20.10802	22.42987	21.01256	18.85915	20.42151	19.06469	21.1053	19.27191	20.1801
Isoform 2 of Serine/threonine-protein phosphatase 6 catalytic subunit	PPP6C	22.19117	22.65703	22.1845	23.23128	22.3508	22.10258	22.37168	23.78197	22.34134	22.79157	22.514	23.18186	22.51987	22.46076	23.04332	21.76043	22.90836	22.00641	23.07924	21.58978	22.24261	22.64043	21.95379	21.41035	22.86825	23.19545	22.39851	22.59028	21.80382	21.8863	22.56698	21.59474
Pyridoxal kinase	PDXK	24.40246	23.01543	24.40044	24.41518	23.9041	23.86439	23.8548	25.67209	24.5797	24.99124	25.67307	24.74876	24.77332	24.77451	25.41669	25.07549	25.3733	24.60271	25.73978	24.70865	24.84352	25.40718	25.15194	25.15424	24.28388	25.06065	25.49633	25.19605	24.76611	24.90538	24.75422	25.27503
Dihydropyrimidinase-related protein 4	DPYSL4	27.71421	28.32602	27.66334	27.8565	28.1696	27.42765	28.50068	28.57233	28.57438	28.69604	28.5755	28.46701	28.74974	27.90546	28.84228	28.19612	28.25779	28.47825	28.09058	28.31955	28.1702	27.49115	28.59507	28.23301	27.51325	27.65508	26.90029	27.52076	27.67067	26.99143	27.84794	27.65224
Isoform 2 of Cytoplasmic dynein 1 intermediate chain 1	DYNC1I1	22.98964	24.39057	21.30352	22.88321	22.87356	22.47173	20.19634	23.23568	23.56988	24.23593	23.72409	22.41558	24.14458	25.25171	24.59848	24.89664	21.92296	23.79249	23.93727	24.62172	24.1592	24.32262	24.30641	26.02605	21.89126	23.8225	23.73127	24.02908	23.25103	23.86389	21.37772	25.60047
Isoform 3 of Coatomer subunit epsilon	COPE	22.6937	22.45267	22.18953	22.17448	22.45409	22.39512	21.28037	20.77051	21.80138	22.15889	21.25897	21.63878	21.5749	18.04085	21.63149	21.03335	22.11975	22.10566	21.62115	21.45789	21.35541	21.1317	21.50525	21.31124	22.20994	21.60463	22.1065	22.64258	23.05133	22.34077	22.24045	21.74353
Neurocan core protein	NCAN	26.76946	27.28619	26.33382	27.03618	27.17863	27.3503	27.80647	28.66248	28.17884	27.97703	28.04044	28.14698	28.0091	27.5715	28.22533	29.39657	29.05405	29.16421	29.14536	28.94791	28.74553	28.64699	28.93741	29.36898	28.32409	28.67806	28.3806	27.99621	28.68531	28.81611	29.34015	29.49065
"Eukaryotic translation initiation factor 1A, X-chromosomal"	EIF1AX	25.81898	26.18656	25.05427	25.06163	25.32449	24.98943	24.4221	23.12788	23.91721	24.56783	22.68487	23.66055	23.48033	20.09355	22.89343	22.45844	24.96463	24.04403	22.75233	23.39833	22.45194	19.44038	23.19308	22.53725	24.59876	24.69578	23.07105	24.50854	23.7244	24.36759	23.66399	22.8624
Isoform 4 of AP-3 complex subunit delta-1	AP3D1	19.64374	23.35192	23.41764	24.04099	23.93166	23.77237	22.21302	23.71502	24.20379	23.17348	22.93873	22.6064	22.51652	23.51466	23.91715	23.36289	23.43354	23.82689	23.60881	23.25861	22.77655	23.63637	22.83759	23.33132	20.56187	23.20533	24.1614	25.24524	23.54747	24.83643	23.27296	23.51583
Actin-binding LIM protein 1	ABLIM1	20.74166	24.17448	25.50373	23.58786	18.93594	20.39201	24.99365	20.06704	22.52505	22.48057	24.82576	23.87821	23.10665	23.71517	22.24854	25.49011	21.81776	22.82574	24.88763	23.35302	23.74124	25.32961	23.12122	24.23279	19.9543	18.25269	23.69866	23.22498	23.37093	24.03552	23.13293	24.53152
Torsin-1A	TOR1A	21.52352	21.44417	21.24325	22.79305	21.16656	19.61703	19.16584	21.1439	21.63418	21.87293	22.3144	21.0355	21.5531	22.22704	22.15287	21.05186	19.54911	21.74919	21.6486	22.06179	20.91874	18.53151	21.811	21.1992	21.29214	20.33574	21.50591	21.57917	20.70582	21.35022	21.1182	21.48701
